department_name,Acronym,course_number,Node_name,course_title,prerequisites,Prereaquisites (clean)
Chemical Engineering,ChE,155,ChE 155,Chemistry of Catalysis,,
Chemical Engineering,ChE,163,ChE 163,Introduction to Biomolecular Engineering,"Bi 8, Ch/Bi 110 or instructor's permission and CS 1 or equivalent","Bi 8, Ch 110, CS 1"
Chemical Engineering,ChE,164,ChE 164,Introduction to Statistical Thermodynamics,Ch 21 abc or instructor's permission,Ch 21 abc
Chemical Engineering,ChE,165,ChE 165,Chemical Thermodynamics,ChE 63 ab or instructor's permission,ChE 63 ab
Chemical Engineering,ChE,174,ChE 174,Special Topics in Transport Phenomena,ACM 95/100 and ChE 151 ab or instructor's permission,"ACM 95/100 ab, ChE 151 ab"
Chemical Engineering,ChE,188,ChE 188,Molecular Imaging,"Ch/Bi 110, ChE 101 and ACM 95 or equivalent","Ch 110, ChE 101, ACM 95/100 ab"
Chemical Engineering,ChE,190,ChE 190,Special Problems in Chemical Engineering,Instructor's permission and adviser's approval must be obtained before registering,
Chemical Engineering,ChE,280,ChE 280,Chemical Engineering Research,,
Chemistry,Ch,1 ab,Ch 1 ab,General Chemistry,,
Chemistry,Ch,3,Ch 3,Fundamental Techniques of Experimental Chemistry,,
Chemistry,Ch,3 x,Ch 3 x,Experimental Methods in Solar Energy Conversion,,
Chemistry,Ch,6 ab,Ch 6 ab,Physical and Biophysical Chemistry Laboratory,"Ch 1, Ch 4 a, and Ch 21 or equivalents (may be taken concurrently)","Ch 1 ab, Ch 4 ab"
Chemistry,Ch,7,Ch 7,Advanced Experimental Methods in Bioorganic Chemistry,"Ch 41 abc, Ch/Bi 110, and Ch 4 ab",
Chemistry,Ch,14,Ch 14,Chemical Equilibrium and Analysis,,
Chemistry,Ch,15,Ch 15,Chemical Equilibrium and Analysis Laboratory,"Ch 1 ab, Ch 3 a or Ch 3 x, Ch 14, or instructor's permission","Ch 1 ab, Ch 3, Ch 3 x, Ch 14"
Chemistry,Ch,21 abc,Ch 21 abc,Physical Chemistry,"Ch 1 ab, Ph 2 a or Ph 12 a, Ma 2; Ma 3 is recommended","Ch 1 ab, Ph 2 abc, Ph 12 abc, Ma 2/102, Ma 3/103"
Chemistry,Ch,25,Ch 25,Introduction to Biophysical Chemistry: Thermodynamics,"Ch 1 ab, Ph 2 a or Ph 12 a, Ma 2; Ch 21 a recommended","Ch 1 ab, Ph 2 abc, Ph 12 abc, Ma 2/102, Ch 21 abc"
Chemistry,Ch,41 abc,Ch 41 abc,Organic Chemistry,Ch 1 ab or instructor's permission,Ch 1 ab
Chemistry,Ch,80,Ch 80,Chemical Research,,
Chemistry,Ch,81,Ch 81,Independent Reading in Chemistry,instructor's permission,
Chemistry,Ch,82,Ch 82,Senior Thesis Research,Instructor's permission,
Chemistry,Ch,90,Ch 90,Oral Presentation,,
Chemistry,Ch,91,Ch 91,Scientific Writing,,
Chemistry,Ch,101,Ch 101,Chemistry Tutorials,,
Chemistry,Ch,102,Ch 102,Introduction to Inorganic Chemistry,Ch 41 ab,Ch 41 abc
Chemistry,Ch,104,Ch 104,Intermediate Organic Chemistry,Ch 41 abc,Ch 41 abc
Chemistry,Ch,110,Ch 110,Introduction to Biochemistry,Ch 41 abc or instructor's permission,Ch 41 abc
Chemistry,Ch,111,Ch 111,Biochemistry of Gene Expression,Ch/Bi 110; Bi 8 and Bi 122 recommended,"Ch 110, Bi 8, Bi 122"
Chemistry,Ch,112,Ch 112,Intermediate Inorganic Chemistry,Ch 102 or instructor's permission,Ch 102
Chemistry,Ch,117,Ch 117,Introduction to Electrochemistry,,
Chemistry,Ch,121 ab,Ch 121 ab,Atomic-Level Simulations of Materials and Molecules,Ch 21 a or Ch 125 a,"Ch 21 abc, Ch 125 ab"
Chemistry,Ch,122,Ch 122,Structure Determination by X-ray Crystallography,Ch 21 abc or instructor's permission,Ch 21 abc
Chemistry,Ch,125 ab,Ch 125 ab,The Elements of Quantum Chemistry,Ch 21 abc or an equivalent brief introduction to quantum mechanics,Ch 21 abc
Chemistry,Ch,129,Ch 129,Introduction to Biophotonics,Ch 21 abc and Ch 125 recommended,"Ch 21 abc, Ch 125 ab"
Chemistry,Ch,135,Ch 135,Chemical Dynamics,"Ch 21 abc and Ch 41 abc, or equivalent, or instructor's permission","Ch 21 abc, Ch 41 abc"
Chemistry,Ch,140 ab,Ch 140 ab,Principles and Applications of Semiconductor Photoelectrochemistry,APh/EE 9 ab or instructor's permission,APh 9 ab
Chemistry,Ch,143,Ch 143,NMR Spectroscopy for Structural Identification,Ch 41 abc,Ch 41 abc
Chemistry,Ch,145,Ch 145,Chemical Biology of Proteins,Ch 41 abc; Ch/Bi 110 recommended,"Ch 41 abc, Ch 110"
Chemistry,Ch,146,Ch 146,Bioorganic Chemistry of Nucleic Acids,Ch 41 ab,Ch 41 abc
Chemistry,Ch,147,Ch 147,Polymer Chemistry,Ch 41 abc,Ch 41 abc
Chemistry,Ch,149,Ch 149,Tutorial in Organic Chemistry,Ch 41 abc and instructor's permission,Ch 41 abc
Chemistry,Ch,153 abc,Ch 153 abc,Advanced Inorganic Chemistry,Ch 112 and Ch 21 abc or concurrent registration,"Ch 112, Ch 21 abc"
Chemistry,Ch,154 ab,Ch 154 ab,Organometallic Chemistry,Ch 112 or equivalent,Ch 112
Chemistry,Ch,180,Ch 180,Chemical Research,,
Chemistry,Ch,212,Ch 212,Bioinorganic Chemistry,Ch 112 and Ch/Bi 110 or equivalent,"Ch 112, Ch 110"
Chemistry,Ch,213 abc,Ch 213 abc,Advanced Ligand Field Theory,Ch 21 abc or concurrent registration,Ch 21 abc
Chemistry,Ch,225,Ch 225,Advanced Quantum Chemistry,"Ch125ab or equivalent, or permission of instructors",Ch 125 ab
Chemistry,Ch,226,Ch 226,Optical and Nonlinear Spectroscopy,"Ch125ab, or equivalent instruction in quantum mechanics",Ch 125 ab
Chemistry,Ch,242 ab,Ch 242 ab,Chemical Synthesis,Ch 41 abc,Ch 41 abc
Chemistry,Ch,247,Ch 247,Organic Reaction Mechanisms,"Ch 41 abc, Ch 242 a recommended","Ch 41 abc, Ch 242 ab"
Chemistry,Ch,250,Ch 250,Advanced Topics in Chemistry,,
Chemistry,Ch,251,Ch 251,Advanced Topics in Chemical Biology,Prerequisites: Ch 145 or 146 or consent of the instructor,"Ch 145, Ch 146"
Chemistry,Ch,252,Ch 252,Advanced Topics in Chemical Physics,,
Chemistry,Ch,253,Ch 253,Advanced Topics in Biochemistry,,
Chemistry,Ch,279,Ch 279,Rotations in Chemistry,,
Chemistry,Ch,280,Ch 280,Chemical Research,,
Chemistry,Ch,4 ab,Ch 4 ab,Synthesis and Analysis of Organic and Inorganic Compounds,Ch 1 (or the equivalent) and Ch 3 a or Ch 3 x. Ch 4 a is a prerequisite for Ch 4 b. Previous or concurrent enrollment in Ch 41 is strongly recommended,"Ch 1 ab, Ch 3, Ch 3 x"
Chemistry,Ch,5 ab,Ch 5 ab,Advanced Techniques of Synthesis and Analysis,Ch 4 ab. Ch 102 strongly recommended for Ch 5 b,"Ch 4 ab, Ch 102"
Chemistry,Ch,8,Ch 8,Procedures of Synthetic Chemistry for Premedical Students,Ch 1 ab and Ch 3 a or Ch 3 x. Previous or concurrent enrollment in Ch 41 is strongly recommended,"Ch 1 ab, Ch 3, Ch 3 x, Ch 41 abc"
Chemistry,Ch,9,Ch 9,Chemical Synthesis and Characterization for Chemical Engineering,Ch 1 ab and Ch 3 a or Ch 3 x. Previous or concurrent enrollment in Ch 41 is strongly recommended,"Ch 1 ab, Ch 3, Ch 3 x, Ch 41 abc"
Chemistry,Ch,10 abc,Ch 10 abc,Frontiers in Chemistry,"Open for credit to freshmen and sophomores. Ch 10 c prerequisites are Ch 10 ab, Ch 3 a or Ch 3 x, and either Ch 1 ab, Ch 41 ab, or Ch 21 ab, and instructorâ€™s permission",
Chemistry,Ch,120 ab,Ch 120 ab,Nature of the Chemical Bond,"general exposure to quantum mechanics (e.g., Ch 21 a)",Ch 21 abc
Chemistry,Ch,144 ab,Ch 144 ab,Advanced Organic Chemistry,Ch 41 abc; Ch 21 abc recommended,"Ch 41 abc, Ch 21 abc"
Civil Engineering,CE,90 abc,CE 90 abc,Structural Analysics and Design,ME 35 abc,
Civil Engineering,CE,100,CE 100,Special Topics in Civil Engineering,,
Civil Engineering,CE,108 ab,CE 108 ab,Computational Mechanics,"Ae 102 abc, Ae 160 ab","Ae 102 abc, Ae 160 ab"
Civil Engineering,CE,112 ab,CE 112 ab,Hydraulic Engineering,"ME 11 abc, ME 12 abc; ACM 95/100 or equivalent (may be taken concurrently)","ME 11 abc, ME 12 abc, ACM 95/100 ab"
Civil Engineering,CE,160 ab,CE 160 ab,Structural and Earthquake Engineering,,
Civil Engineering,CE,173,CE 173,Mechanics of Soils,Continuum Mechanics-Ae/Ge/ME 160a,Ae 160 ab
Civil Engineering,CE,180,CE 180,Experimental Methods in Earthquake Engineering,AM/CE 151 abc or equivalent,AM 151
Civil Engineering,CE,181 ab,CE 181 ab,Engineering Seismology,,
Civil Engineering,CE,200,CE 200,Advanced Work in Civil Engineering,,
Civil Engineering,CE,201,CE 201,Advanced Topics in Civil Engineering,,
Civil Engineering,CE,222,CE 222,"Earthquake Source Processes, Debris Flows, and Soil Liquefaction: Physics-based Modeling of Failure in Granular Media",,
Civil Engineering,CE,300,CE 300,Research in Civil Engineering,,
Civil Engineering,CE,108,CE 108,Computational Mechanics,"Ae/AM/ME/CE 102 abc or Ae/GE/ME 160 ab, or instructor's permission","Ae 102 abc, Ae 160 ab"
Computation & Neural Sys(E&AS),CNS,100,CNS 100,Introduction to Computation and Neural Systems,,
Computation & Neural Sys(E&AS),CNS,102 ab,CNS 102 ab,"Brains, Minds, and Society","NB/Bi/CNS 150 and CNS/Bi/Ph/CS/NB 187, or instructor's permission","NB 150, CNS 187"
Computation & Neural Sys(E&AS),CNS,131,CNS 131,The Psychology of Learning and Motivation,,
Computation & Neural Sys(E&AS),CNS,176,CNS 176,Cognition,,
Computation & Neural Sys(E&AS),CNS,180,CNS 180,Research in Computation and Neural Systems,,
Computation & Neural Sys(E&AS),CNS,186,CNS 186,Vision: From Computational Theory to Neuronal Mechanisms,,
Computation & Neural Sys(E&AS),CNS,187,CNS 187,Neural Computation,introductory neuroscience (Bi 150 or equivalent); mathematical methods (Bi 195 or equivalent); scientific programming,"NB 150, Bi 195"
Computation & Neural Sys(E&AS),CNS,247,CNS 247,Cerebral Cortex,NB/Bi/CNS 150 or equivalent,NB 150
Computation & Neural Sys(E&AS),CNS,251,CNS 251,Human Brain Mapping: Theory and Practice,,
Computation & Neural Sys(E&AS),CNS,256,CNS 256,Decision Making,,
Computation & Neural Sys(E&AS),CNS,280,CNS 280,Research in Computation and Neural Systems,,
Computation & Neural Sys(E&AS),CNS,286 abc,CNS 286 abc,Special Topics in Computation and Neural Systems,,
Computer Science,CS,1,CS 1,Introduction to Computer Programming,,
Computer Science,CS,1 x,CS 1 x,Intermediate Computer Programming,Enrollment by instructor permission only,
Computer Science,CS,3,CS 3,Introduction to Software Design,CS 2 or equivalent,CS 2
Computer Science,CS,4,CS 4,Fundamentals of Computer Programming,CS 1 or instructor's permission,CS 1
Computer Science,CS,9,CS 9,Introduction to Computer Science Research,,
Computer Science,CS,11,CS 11,Computer Language Lab,CS 1 or instructor's permission,CS 1
Computer Science,CS,12,CS 12,Student-Taught Topics in Computing,CS 1 or instructor's permission,CS 1
Computer Science,CS,19 ab,CS 19 ab,Introduction to Computer Science in Industry,,
Computer Science,CS,21,CS 21,Decidability and Tractability,CS 2 (may be taken concurrently),CS 2
Computer Science,CS,22,CS 22,Data Structures & Parallelism,CS 2 or instructor's permission,CS 2
Computer Science,CS,24,CS 24,Introduction to Computing Systems,CS 2 and CS 3,"CS 2, CS 3"
Computer Science,CS,38,CS 38,Algorithms,CS 2; Ma/CS 6 a or Ma 121 a; and CS 21,"CS 2, Ma 6/106 abc, Ma 121 ab, CS 21"
Computer Science,CS,42,CS 42,Computer Science Education in K-14 Settings,,
Computer Science,CS,75 abc,CS 75 abc,Multidisciplinary Systems Engineering,,
Computer Science,CS,80 abc,CS 80 abc,Undergraduate Thesis,"instructor's permission, which should be obtained sufficiently early to allow time for planning the research",
Computer Science,CS,81 abc,CS 81 abc,Undergraduate Projects in Computer Science,Consent of supervisor is required before registering,
Computer Science,CS,90,CS 90,Undergraduate Reading in Computer Science,Consent of supervisor is required before registering,
Computer Science,CS,101,CS 101,Special Topics in Computer Science,"CS 21 and CS 38, or instructor's permission","CS 21, CS 38"
Computer Science,CS,102 abc,CS 102 abc,Seminar in Computer Science,,
Computer Science,CS,103 abc,CS 103 abc,Reading in Computer Science,,
Computer Science,CS,111,CS 111,Graduate Programming Practicum,CS 1 or equivalent,CS 1
Computer Science,CS,115,CS 115,Functional Programming,CS 1 and CS 4,"CS 1, CS 4"
Computer Science,CS,116,CS 116,Reasoning about Program Correctness,CS 1 or equivalent,CS 1
Computer Science,CS,118,CS 118,Automata-Theoretic Software Analysis,,
Computer Science,CS,120,CS 120,Quantum Cryptography,"Ma 1b, Ph 2b or Ph 12b, CS 21, CS 38 or equivalent recommended (or instructor's permission)","Ma 1 abc, Ph 2 abc, CS 21, CS 38"
Computer Science,CS,121,CS 121,Relational Databases,CS 1 or equivalent,CS 1
Computer Science,CS,122,CS 122,Database System Implementation,"CS 2, CS 38, CS/IDS 121 and familiarity with Java, or instructor's permission","CS 2, CS 38, CS 121"
Computer Science,CS,123,CS 123,Projects in Database Systems,CS/IDS 121 and CS 122,"CS 121, CS 122"
Computer Science,CS,124,CS 124,Operating Systems,CS 24,CS 24
Computer Science,CS,130,CS 130,Software Engineering,CS 2 or equivalent,CS 2
Computer Science,CS,132,CS 132,Web Development,CS1 or equivalent,CS 1
Computer Science,CS,137,CS 137,Algorithms in the Real World,CS 24,CS 24
Computer Science,CS,138,CS 138,Computer Algorithms,,
Computer Science,CS,141,CS 141,Hack Society: Projects from the Public Sector,"CS/IDS 142, 143, CMS/CS/EE/IDS 144, or permission from instructor","CS 142, CS 143, CMS 144"
Computer Science,CS,143,CS 143,Communication Networks,"Ma 2, Ma 3, CS 24 and CS 38, or instructor permission","Ma 2/102, Ma 3/103, CS 24, CS 38"
Computer Science,CS,145,CS 145,Projects in Networking,"Either CMS/CS/EE/IDS 144 or CS/IDS 142 in the preceding term, or instructor permission","CMS 144, CS 142"
Computer Science,CS,146,CS 146,Control and Optimization of Networks,"Ma 2, Ma 3 or instructor's permission","Ma 2/102, Ma 3/103"
Computer Science,CS,149,CS 149,Algorithmic Economics,,
Computer Science,CS,151,CS 151,Complexity Theory,"CS 21 and CS 38, or instructor's permission","CS 21, CS 38"
Computer Science,CS,152,CS 152,Introduction to Cryptography,"Ma 1b, CS 21, CS 38 or equivalent recommended","Ma 1 abc, CS 21, CS 38"
Computer Science,CS,153,CS 153,Current Topics in Theoretical Computer Science,"CS 21 and CS 38, or instructor's permission","CS 21, CS 38"
Computer Science,CS,156 ab,CS 156 ab,Learning Systems,"Ma 2 and CS 2, or equivalent","CS 2, Ma 2/102"
Computer Science,CS,159,CS 159,Advanced Topics in Machine Learning,"CS 155; strong background in statistics, probability theory, algorithms, and linear algebra; background in optimization is a plus as well",CMS 155
Computer Science,CS,165,CS 165,Foundations of Machine Learning and Statistical Inference,"CMS/ACM/IDS 113, ACM/EE/IDS 116, CS 156a, ACM/CS/IDS 157 or instructor's permission","CMS 122, ACM 116, CS 156 ab, IDS 157"
Computer Science,CS,166,CS 166,Computational Cameras,ACM 104 or ACM 107 or equivalent,"ACM 104, CMS 107"
Computer Science,CS,171,CS 171,Computer Graphics Laboratory,"Extensive programming experience and proficiency in linear algebra, starting with CS2 and Ma1b","CS 2, Ma 1 abc"
Computer Science,CS,174,CS 174,Computer Graphics Projects,"Extensive programming experience, CS/CNS 171 or instructor's permission",CS 171
Computer Science,CS,177 a,CS 177 a,Discrete Differential Geometry: Theory and Applications,,
Computer Science,CS,178,CS 178,Numerical Algorithms and their Implementation,CS 2,CS 2
Computer Science,CS,179,CS 179,GPU Programming,Good working knowledge of C/C++,
Computer Science,CS,274 abc,CS 274 abc,Topics in Computer Graphics,instructor's permission,
Computer Science,CS,280,CS 280,Research in Computer Science,,
Computer Science,CS,282 abc,CS 282 abc,Reading in Computer Science,,
Computer Science,CS,286 abc,CS 286 abc,Seminar in Computer Science,,
Computer Science,CS,287,CS 287,Center for the Mathematics of Information Seminar,,
Computer Science,CS,2,CS 2,Introduction to Programming Methods,CS 1 or equivalent.,CS 1
Computer Science,CS,131,CS 131,Programming Languages,CS 4,CS 4
Computer Science,CS,142,CS 142,Distributed Computing,"CS 24, CS 38","CS 24, CS 38"
Computer Science,CS,150 ab,CS 150 ab,Probability and Algorithms,part a: CS 38 and Ma 5 abc; part b: part a or another introductory course in discrete probability,"CS 38, Ma 5/105 abc"
Computer Science,CS,162,CS 162,"Data, Algorithms and Society",CS 38 and CS 155 or 156a,"CS 38, CMS 155, CS 156 ab"
Computer Science,CS,176,CS 176,Computer Graphics Research,"CS/CNS 171, or 173, or 174","CS 171, CS 174"
Computer Science,CS,180,CS 180,Masterâ€™s Thesis Research,,
Computer Science,CS,163,CS 163,Making Data Visual,,
Computing and Mathematical Sciences,CMS,107,CMS 107,Linear Analysis with Applications,"ACM/IDS 104 or equivalent, Ma 1 b or equivalent","ACM 104, Ma 1 abc"
Computing and Mathematical Sciences,CMS,117,CMS 117,Probability Theory and Stochastic Processes,"ACM/IDS 104, ACM/EE/IDS 116 or instructor's permission","ACM 104, ACM 116"
Computing and Mathematical Sciences,CMS,122,CMS 122,Mathematical Optimization,"ACM 11 and ACM 104, or instructor's permission","ACM 11, ACM 104"
Computing and Mathematical Sciences,CMS,139,CMS 139,Analysis and Design of Algorithms,"Ma 2, Ma 3, Ma/CS 6a, CS 21, CS 38/138, and ACM/EE/IDS 116 or CMS/ACM/IDS 113 or equivalent","Ma 2/102, Ma 3/103, Ma 6/106 abc, CS 21, CS 38, ACM 116, CMS 122"
Computing and Mathematical Sciences,CMS,144,CMS 144,Networks: Structure & Economics,"Ma 2, Ma 3, Ma/CS 6 a, and CS 38, or instructor permission","Ma 2/102, Ma 3/103, Ma 6/106 abc, CS 21, CS 38"
Computing and Mathematical Sciences,CMS,155,CMS 155,Machine Learning & Data Mining,"CS/CNS/EE 156 a. Having a sufficient background in algorithms, linear algebra, calculus, probability, and statistics, is highly recommended",CS 156 ab
Computing and Mathematical Sciences,CMS,270,CMS 270,Advanced Topics in Computing and Mathematical Sciences,,
Computing and Mathematical Sciences,CMS,300,CMS 300,Research in Computing and Mathematical Sciences,,
Computing and Mathematical Sciences,CMS,290 abc,CMS 290 abc, Computing and Mathematical Sciences Colloquium,Registration is limited to graduate students in the CMS department only,
Control & Dynamical Systems,CDS,90 abc,CDS 90 abc,Senior Thesis in Control and Dynamical Systems,CDS 110 or CDS 112 (may be taken concurrently),"CDS 110, CDS 112"
Control & Dynamical Systems,CDS,110,CDS 110,Introduction to Feedback Control Systems,Ma 1abc and Ma 2/102 or equivalents,"Ma 1 abc, Ma 2/102"
Control & Dynamical Systems,CDS,112,CDS 112,Optimal Control and Estimation,CDS 110 (or equivalent) and CDS 131,"CDS 110, CDS 131"
Control & Dynamical Systems,CDS,131,CDS 131,Linear Systems Theory,"Ma 1b, Ma 2, ACM/IDS 104 or equivalent (may be taken concurrently)","Ma 1 abc, Ma 2/102, ACM 104"
Control & Dynamical Systems,CDS,141,CDS 141,Network Control Systems,,
Control & Dynamical Systems,CDS,190,CDS 190,Independent Work in Control and Dynamical Systems,CDS 110,CDS 110
Control & Dynamical Systems,CDS,231,CDS 231,Robust Control Theory,"CMS/ACM/IDS 107, CMS/ACM/IDS 113, and CDS 131 (or equivalents)","CMS 107, CMS 122, CDS 131"
Control & Dynamical Systems,CDS,232,CDS 232,Nonlinear Dynamics,CMS/ACM/ IDS107 and CDS 231,"CMS 107, CDS 231"
Control & Dynamical Systems,CDS,233,CDS 233,Nonlinear Control,CDS 231 and CDS 232,"CDS 231, CDS 232"
Control & Dynamical Systems,CDS,242,CDS 242,Hybrid Systems: Dynamics and Control,CDS 231 and CDS 232,"CDS 231, CDS 232"
Control & Dynamical Systems,CDS,243,CDS 243,Adaptive Control,CDS 231 AND CDS 232,"CDS 231, CDS 232"
Control & Dynamical Systems,CDS,244,CDS 244,System Identification,CDS 231 and CDS 232,"CDS 231, CDS 232"
Control & Dynamical Systems,CDS,270,CDS 270,Advanced Topics in Systems and Control,,
Control & Dynamical Systems,CDS,300 abc,CDS 300 abc,Research in Control and Dynamical Systems,,
Electrical Engineering,EE,1,EE 1,"The Science of Data, Signals, and Information",,
Electrical Engineering,EE,7,EE 7,Introduction to Mechatronics,,
Electrical Engineering,EE,10 ab,EE 10 ab,Introduction to Digital Logic and Embedded Systems,,
Electrical Engineering,EE,13,EE 13,Electronic System Prototyping,,
Electrical Engineering,EE,40,EE 40,Physics of Electrical Engineering,,
Electrical Engineering,EE,44,EE 44,Deterministic Analysis of Systems and Circuits,"Ph 1 abc, can be taken concurrently with Ma 2 and Ph 2 a",Ph 1 abc
Electrical Engineering,EE,45,EE 45,Electronics Systems and Laboratory,EE 44,EE 44
Electrical Engineering,EE,55,EE 55,Mathematics of Electrical Engineering,Ma 1abc,Ma 1 abc
Electrical Engineering,EE,80 abc,EE 80 abc,Senior Thesis,"instructor's permission, which should be obtained during the junior year to allow sufficient time for planning the research",
Electrical Engineering,EE,85,EE 85,Analog and RF Circuits Laboratory,EE 45 or equivalent,EE 45
Electrical Engineering,EE,90,EE 90,Analog Electronics Project Laboratory,EE 40 and EE 45,"EE 40, EE 45"
Electrical Engineering,EE,91,EE 91,Experimental Projects in Electronic Circuits,EE 45,EE 45
Electrical Engineering,EE,99,EE 99,Advanced Work in Electrical Engineering,,
Electrical Engineering,EE,105 abc,EE 105 abc,Electrical Engineering Seminar,,
Electrical Engineering,EE,110 abc,EE 110 abc,Embedded Systems Design Laboratory,,
Electrical Engineering,EE,111,EE 111,Signal-Processing Systems and Transforms,Ma 1,Ma 1 abc
Electrical Engineering,EE,112,EE 112,Introduction to Signal Processing from Data,EE 111 or equivalent. Math 3 recommended,"EE 111, Ma 3/103"
Electrical Engineering,EE,113,EE 113,Feedback and Control Circuits,EE 45 or equivalent,EE 45
Electrical Engineering,EE,114 ab,EE 114 ab,Analog Circuit Design,EE 44 or equivalent,EE 44
Electrical Engineering,EE,115,EE 115,Micro-/Nano-scales Electro-Optics,Introductory electromagnetic class and consent of the instructor,Ph 1 abc
Electrical Engineering,EE,119 abc,EE 119 abc,Advanced Digital Systems Design,EE/CS 10 a or CS 24,"EE 10 ab, CS 24"
Electrical Engineering,EE,120,EE 120,Physical Optics,Intermediate-level familiarity with Fourier transforms and linear systems analysis,
Electrical Engineering,EE,121,EE 121,Computational Signal Processing,"EE 111, ACM/EE/IDS 116, ACM/IDS 104","EE 111, ACM 116, ACM 104"
Electrical Engineering,EE,123,EE 123,Advanced Lasers and Photonics Laboratory,none,
Electrical Engineering,EE,125,EE 125,Digital Electronics and Design with FPGAs and VHDL,EE/CS 10 or equivalent,EE 10 ab
Electrical Engineering,EE,126 ab,EE 126 ab,Information Theory,Ma 3,Ma 3/103
Electrical Engineering,EE,127,EE 127,Error-Correcting Codes,EE 55 or Ma 3,"EE 55, Ma 3/103"
Electrical Engineering,EE,128 ab,EE 128 ab,Selected Topics in Digital Signal Processing,"EE 111 and EE/CS/IDS 160 or equivalent required, and EE 112 or equivalent recommended","EE 111, EE 160, EE 112"
Electrical Engineering,EE,131,EE 131,Light Interaction with Atomic Systems-Lasers,APh/EE 130,APh 130
Electrical Engineering,EE,135,EE 135,Power System Analysis,"EE 44, Ma 2, or equivalent","EE 44, Ma 2/102"
Electrical Engineering,EE,136,EE 136,Topics in Information Theory,Ma 3 or ACM/EE/IDS 116 or CMS 117 or Ma/ACM/IDS 140a,"Ma 3/103, ACM 116, CMS 117, Ma 140 ab"
Electrical Engineering,EE,147,EE 147,Digital Ventures Design,none,
Electrical Engineering,EE,148,EE 148,Selected Topics in Computational Vision,"undergraduate calculus, linear algebra, geometry, statistics, computer programming",
Electrical Engineering,EE,149,EE 149,Frontiers of Nonlinear Photonics,,
Electrical Engineering,EE,150,EE 150,Topics in Electrical Engineering,,
Electrical Engineering,EE,151,EE 151,Electromagnetic Engineering,EE 45,EE 45
Electrical Engineering,EE,153,EE 153,Microwave Circuits and Antennas,EE 45,EE 45
Electrical Engineering,EE,154 ab,EE 154 ab,Practical Electronics for Space Applications,,
Electrical Engineering,EE,157 ab,EE 157 ab,Introduction to the Physics of Remote Sensing,Ph 2 or equivalent,Ph 2 abc
Electrical Engineering,EE,158,EE 158,Quantum Electrical Circuits,"advanced-level familiarity with Maxwell's electromagnetic theory and quantum mechanics (EE 151 and Ph 125 abc, or equivalent)","EE 151, Ph 125 abc"
Electrical Engineering,EE,160,EE 160,Fundamentals of Information Transmission and Storage,,
Electrical Engineering,EE,161,EE 161,Big Data Networks,Linear Algebra ACM/IDS 104 and Introduction to Probability Models ACM/EE/IDS 116 or their equivalents,"ACM 104, ACM 116"
Electrical Engineering,EE,163,EE 163,Communication Theory,EE 111; ACM/EE/IDS 116 or equivalent,"EE 111, ACM 116"
Electrical Engineering,EE,164,EE 164,Stochastic and Adaptive Signal Processing,ACM/EE/IDS 116 or equivalent,ACM 116
Electrical Engineering,EE,167,EE 167,Introduction to Data Compression and Storage,Ma 3 or ACM/EE/IDS 116,"ACM 116, Ma 3/103"
Electrical Engineering,EE,175,EE 175,Digital Circuits Analysis and Design with Complete VHDL and RTL Approach,medium to advanced knowledge of digital electronics,
Electrical Engineering,EE,180,EE 180,Nanotechnology,,
Electrical Engineering,EE,185,EE 185,MEMS Technology and Devices,"APh/EE 9 ab, or instructor's permission",APh 9 ab
Electrical Engineering,EE,187,EE 187,VLSI and ULSI Technology,"APh/EE 9 ab, EE/APh 180 or instructor's permission","APh 9 ab, EE 180"
Electrical Engineering,EE,291,EE 291,Advanced Work in Electrical Engineering,,
Electrical Engineering,EE,124,EE 124,Mixed-mode Integrated Circuits,EE 45 a or equivalent,EE 45
Electrical Engineering,EE,152,EE 152,High Frequency Systems Laboratory,EE 45 or equivalent. EE 153 recommended,"EE 45, EE 153"
Electrical Engineering,EE,2,EE 2,Electrical Engineering Entrepreneurial and Research Seminar,,
Engineering,E,2,E 2,Frontiers in Engineering and Applied Science,,
Engineering,E,88,E 88,Critical Making,,
Engineering,E,89,E 89,New Media Arts in the 20th and 21st Centuries,none,
Engineering,E,100,E 100,Special Topics in Engineering Applied Science,none,
Engineering,E,102,E 102,Scientific and Technology Entrepreneurship,,
Engineering,E,103,E 103,Management of Technology,,
Engineering,E,105 ab,E 105 ab,Design for Freedom from Disability,,
Engineering,E,110,E 110,Principles of University Teaching and Learning in STEM,,
Environmental Science & Engineering,ESE,1,ESE 1,Earth's Climate,,
Environmental Science & Engineering,ESE,90,ESE 90,Undergraduate Laboratory Research in Environmental Science and Engineering,,
Environmental Science & Engineering,ESE,91,ESE 91,Senior Thesis Research,ESE 90 and Instructor's permission,ESE 90
Environmental Science & Engineering,ESE,100,ESE 100,Special Problems in Environmental Science and Engineering,instructor's permission,
Environmental Science & Engineering,ESE,101,ESE 101,Earth's Atmosphere,,
Environmental Science & Engineering,ESE,102,ESE 102,Earth's Oceans,,
Environmental Science & Engineering,ESE,103,ESE 103,Earth's Biogeochemical Cycles,,
Environmental Science & Engineering,ESE,104,ESE 104,Current Problems in Environmental Science and Engineering,,
Environmental Science & Engineering,ESE,106,ESE 106,Research in Environmental Science and Engineering,instructor's permission,
Environmental Science & Engineering,ESE,110 abc,ESE 110 abc,Seminar in Environmental Science and Engineering,,
