Course,Department Name,Title,Pre Req
AS.196.505,AS Agora Institute,Internship - Disinformation,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.196.506,AS Agora Institute,Research - Disinformation,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.196.600,AS Agora Institute,Data-analysis for Social Science & Public Policy I,
AS.196.601,AS Agora Institute,Data-analysis for Social Science & Public Policy II,
AS.196.610,AS Agora Institute,"Fighting the Information War: Democracy, Autocracy & the Battle of Narratives in the 20 & 21 Century",
AS.196.801,AS Agora Institute,Independent Study,
AS.196.802,AS Agora Institute,Field Research on Civic Engagement,
AS.196.805,AS Agora Institute,Graduate Internship - Disinformation,
AS.070.118,AS Anthropology,Urban Citizenship,
AS.070.125,AS Anthropology,Technology and Politics in Native North America,
AS.070.132,AS Anthropology,Invitation to Anthropology,
AS.070.140,AS Anthropology,Anthropology of Food,
AS.070.154,AS Anthropology,Maps and Mapping,
AS.070.201,AS Anthropology,Picturizing Climate Change,
AS.070.202,AS Anthropology,Mapping Communities,
AS.070.212,AS Anthropology,Minorites in South Asia,
AS.070.213,AS Anthropology,Data and Society,
AS.070.216,AS Anthropology,Militarization & Mental Health,
AS.070.221,AS Anthropology,Cityness: Anthropology and the Urban Experience,
AS.070.223,AS Anthropology,Engaging Plants: Human-Plant Relations in Anthropology,
AS.070.239,AS Anthropology,Hinduism and Ethics: The Epics,
AS.070.241,AS Anthropology,African Cities,
AS.070.253,AS Anthropology,Introduction to Medical Anthropology,
AS.070.267,AS Anthropology,"Culture, Religion and Politics in Iran",
AS.070.273,AS Anthropology,Ethnographies,
AS.070.281,AS Anthropology,Home and Belonging,
AS.070.284,AS Anthropology,Life and Labor in Toxic Environments: Anthropological Perspectives,
AS.070.286,AS Anthropology,Reading Gandhi in the Contemporary Moment,
AS.070.289,AS Anthropology,Family Reconsidered,
AS.070.295,AS Anthropology,Conflict and Security in a Global World,
AS.070.317,AS Anthropology,Methods,AS.070.132 OR AS.070.273
AS.070.322,AS Anthropology,The Politics of Land Rights,
AS.070.324,AS Anthropology,Latin America in a Fracturing World,
AS.070.328,AS Anthropology,Ethnographies Of Iran,
AS.070.329,AS Anthropology,An Introduction to Reality,
AS.070.330,AS Anthropology,Sheltering in Places: Architecture and Anthropology in Conversation,
AS.070.332,AS Anthropology,Reverberations Of The Korean War,
AS.070.334,AS Anthropology,Contemporary Anthropology,
AS.070.336,AS Anthropology,Ethnographic Perspectives on Brazil,
AS.070.337,AS Anthropology,Invisible Cities,
AS.070.338,AS Anthropology,Transnational Migration through the Lens of Kinship and Gender,
AS.070.342,AS Anthropology,"Common Ground: Shared Resources, Social Economies",
AS.070.345,AS Anthropology,"Violence, Race and the Unruly Body",
AS.070.359,AS Anthropology,Korean War,
AS.070.363,AS Anthropology,Religious Freedom and Prisons in America,
AS.070.367,AS Anthropology,Science and Technology in Africa,
AS.070.368,AS Anthropology,Law and Infrastructure,
AS.070.369,AS Anthropology,Media Artist in Residence Jane Jin Kaisen,
AS.070.373,AS Anthropology,Housing Matters,
AS.070.375,AS Anthropology,"Technology, Trust, and Expertise",
AS.070.376,AS Anthropology,Social Ecology,
AS.070.379,AS Anthropology,Social Ecology Studio,
AS.070.380,AS Anthropology,Slumworld: Life in informal Settlements,
AS.070.381,AS Anthropology,Addiction:  An anthropological approach to substance  dependence  in the U.S.,
AS.070.387,AS Anthropology,"Human Variation: “Race,” Biology, Culture",
AS.070.389,AS Anthropology,Precarity in South Korea through TV and Film:Aesthetics and everyday life,
AS.070.402,AS Anthropology,Environmental Justice Workshop,
AS.070.403,AS Anthropology,Public Anthropology,
AS.070.404,AS Anthropology,The Idea of Africa,
AS.070.407,AS Anthropology,Design Anthropology,
AS.070.413,AS Anthropology,Reading Marx,
AS.070.419,AS Anthropology,Logic of Anthropological Inquiry,
AS.070.424,AS Anthropology,Normal and Pathological,
AS.070.425,AS Anthropology,Anthropology of Epidemics,
AS.070.426,AS Anthropology,Kinship: Old and New,
AS.070.431,AS Anthropology,Politics of Language,
AS.070.433,AS Anthropology,Development without Displacement: Sustainable Design Practicum,
AS.070.435,AS Anthropology,New War/ Civil Conflicts/ Policing,
AS.070.465,AS Anthropology,Concepts: How to Read Hindu and Islamic Texts,
AS.070.466,AS Anthropology,Persons and Things in Ethnography and Fiction,
AS.070.472,AS Anthropology,"Rumors, Conspiracy Theories And Disinformation",
AS.070.495,AS Anthropology,Householding on a Warming Earth,
AS.070.503,AS Anthropology,Independent Study,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.070.504,AS Anthropology,Independent Study,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.070.508,AS Anthropology,Directed Readings,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.070.561,AS Anthropology,Senior Essay-Fall,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.070.562,AS Anthropology,Senior Essay - Spring,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.070.596,AS Anthropology,Independent Study,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.070.602,AS Anthropology,Environmental Justice Workshop,
AS.070.603,AS Anthropology,Public Anthropology,
AS.070.604,AS Anthropology,The Idea of Africa,
AS.070.607,AS Anthropology,Schelling and Anthropology,
AS.070.613,AS Anthropology,Reading Marx,
AS.070.616,AS Anthropology,Proseminar,
AS.070.617,AS Anthropology,Methods,
AS.070.619,AS Anthropology,Logic of Anthropological Inquiry,
AS.070.624,AS Anthropology,Normal and Pathological,
AS.070.625,AS Anthropology,Anthropology of Epidemics,
AS.070.629,AS Anthropology,"Play, Performance, And Personhood",
AS.070.631,AS Anthropology,Politics of Language,
AS.070.633,AS Anthropology,Development without Displacement: Sustainable Design Practicum,
AS.070.634,AS Anthropology,Contemporary Anthropology,
AS.070.635,AS Anthropology,New War/ Civil Conflicts/ Policing,
AS.070.639,AS Anthropology,Kinship: Old and New,
AS.070.640,AS Anthropology,Invisible Cities,
AS.070.646,AS Anthropology,Pollution,
AS.070.656,AS Anthropology,Anthropology of Religion,
AS.070.657,AS Anthropology,First Year Syllabus,
AS.070.659,AS Anthropology,Proposal Writing,
AS.070.664,AS Anthropology,"n the Shadow of War: Korea, Violence, and Poverty",
AS.070.665,AS Anthropology,Concepts: How to Read Hindu and Islamic Texts,
AS.070.666,AS Anthropology,Persons and Things in Ethnography and Fiction,
AS.070.672,AS Anthropology,"Rumors, Conspiracy Theories And Disinformation",
AS.070.673,AS Anthropology,Readings of  Foucault,
AS.070.674,AS Anthropology,Readings in Anthropology,
AS.070.676,AS Anthropology,Semiotics and its Discontents,
AS.070.678,AS Anthropology,Ecologies and Economies,
AS.070.682,AS Anthropology,Readings in Anthropology,
AS.070.687,AS Anthropology,Romanticism and Anthropology,
AS.070.691,AS Anthropology,The Anthropological Tone in Philosophy,
AS.070.698,AS Anthropology,Defining Region,
AS.070.801,AS Anthropology,Dissertation Research,
AS.070.802,AS Anthropology,Dissertation Research,
AS.070.803,AS Anthropology,Summer Research,
AS.070.866,AS Anthropology,Directed Readings and Research,
AS.070.867,AS Anthropology,Directed Reading and Research,
AS.070.871,AS Anthropology,Directed Reading and Research,
AS.070.872,AS Anthropology,Directed Readings and Research,
AS.070.874,AS Anthropology,Directed Readings and Research,
AS.070.886,AS Anthropology,Dir Readings & Research,
AS.070.892,AS Anthropology,Directed Readings and Research,
AS.136.101,AS Archaeology,Introduction To Archaeology,
AS.136.505,AS Archaeology,Archaeology Fieldwork,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.136.506,AS Archaeology,Independent Study-Archaeology Fieldwork,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.136.510,AS Archaeology,Archaeology Major Honors Thesis I,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.136.511,AS Archaeology,Archaeology Major Honors Thesis II,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms.;AS.130.510"
AS.371.126,AS Art,Fiber Art and the String Revolution,
AS.371.129,AS Art,Botanical Painting in Watercolor and Gouache,
AS.371.130,AS Art,Smartphone Photography,
AS.371.131,AS Art,Foundation Drawing,
AS.371.133,AS Art,Oil Painting I,
AS.371.137,AS Art,Smartphone Photography,
AS.371.147,AS Art,"Art of Architecture: Homewood, Baltimore and Beyond",
AS.371.151,AS Art,Photoshop: The Digital Darkroom,
AS.371.152,AS Art,Introduction to Digital Photography,
AS.371.153,AS Art,Introduction to Visual Communication- Graphic Design,
AS.371.154,AS Art,Introduction to Watercolor,
AS.371.180,AS Art,Exploring Line,
AS.371.184,AS Art,Introduction to Silk Screen Printing,
AS.371.185,AS Art,Printmaking: Multiples and Variations,
AS.371.186,AS Art,Fundamentals of Design Drawing and 3-D Visualization,
AS.371.187,AS Art,"Intermediate Drawing, A Contemporary Approach",AS.371.131 OR AS.371.186
AS.371.210,AS Art,Drawing: Who's Telling the Story?,
AS.371.211,AS Art,"Artist Books: Draft, Print, Stitch",
AS.371.216,AS Art,From the still life to the figurative: Photographic Lighting Techniques,
AS.371.217,AS Art,Film Photography in the Digital World,
AS.371.219,AS Art,Experimental Photography: Light Sensitive Processes,
AS.371.226,AS Art,Sculptural Fibers,
AS.371.228,AS Art,Investigations in Still Life Photography,
AS.371.230,AS Art,Portrait Photography,
AS.371.234,AS Art,Oil Painting II,AS.371.133 or instructor's permission.
AS.371.236,AS Art,Drawing: The Portrait,
AS.371.240,AS Art,Intermediate Digital Photography: Photographic Concepts (Photo II),
AS.371.250,AS Art,Life Drawing,AS.371.131 or AS.371.187 or permission of Instructor.
AS.371.289,AS Art,Possibilities (re)structured: Introduction to Mixed Media - 2D and 3D Art Practices.,
AS.371.290,AS Art,Introduction to Jewelry and Small Metals,
AS.371.302,AS Art,Photographic Portfolio,
AS.371.303,AS Art,Documentary Photography,
AS.371.381,AS Art,Advanced Projects in Visual Art,AS.371.131 OR AS.371.133 OR AS.371.152 OR AS.371.186
AS.371.501,AS Art,Independent Study,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.371.502,AS Art,Independent Study,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.290.101,AS Behavioral Biology,Human Origins,
AS.290.303,AS Behavioral Biology,Animal Behavior and Communication Lab,AS.200.208 OR AS.200.344
AS.290.304,AS Behavioral Biology,Comparative Neuroanatomy,AS.080.306 OR AS.200.141
AS.290.306,AS Behavioral Biology,Behavioral Evolution Lab,
AS.290.330,AS Behavioral Biology,Human Sexuality,
AS.290.400,AS Behavioral Biology,Comparative Neural Systems and Behavior Research Discussions,
AS.290.420,AS Behavioral Biology,Human Sexual Orientation,
AS.290.490,AS Behavioral Biology,Senior Seminar: Behavioral Biology,"AS.290.101 AND AS.200.208 AND AS.200.208 AND AS.200.208, or Instructor permission.;AS.200.141 AND AS.200.208 AND AS.290.101 or instructor permission.;(AS.290.101 AND AS.200.208 AND AS.200.141) or Instructor permission.;(AS.200.141 AND AS.200.208 AND AS.290.101) OR Instructor Permission."
AS.290.500,AS Behavioral Biology,Connections in Behavioral Biology,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.290.501,AS Behavioral Biology,Behavioral Biology Research - Freshmen,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.290.502,AS Behavioral Biology,Research-Freshmen,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.290.503,AS Behavioral Biology,Behavioral Biology Research-Behavioral Biology Majors,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.290.504,AS Behavioral Biology,Behavioral Biology Research-Behavioral Biology Majors,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.290.505,AS Behavioral Biology,Behavioral Biology DUS Approved Research,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.290.519,AS Behavioral Biology,Independent Study,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.290.520,AS Behavioral Biology,Independent Study,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.290.590,AS Behavioral Biology,Behavioral Biology Internship,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.290.594,AS Behavioral Biology,Behavioral Biology Internship,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.290.595,AS Behavioral Biology,Behavioral Biology Research - Freshmen,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.290.596,AS Behavioral Biology,Behavioral Biology Internship,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.290.597,AS Behavioral Biology,Behavioral Biology Research-Behavioral Biology Majors,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.020.108,AS Biology,"Population Genomics: Evolution, Extinction & Disease",
AS.020.120,AS Biology,Introduction to Laboratory Research,
AS.020.125,AS Biology,Microbe Hunters- Student-sourcing Antibiotic Discovery,
AS.020.132,AS Biology,Medical School Intensive,
AS.020.134,AS Biology,Introduction to Surgery,
AS.020.137,AS Biology,Phage Discovery Lab,
AS.020.151,AS Biology,General Biology I,
AS.020.152,AS Biology,General Biology II,AS.020.151
AS.020.153,AS Biology,General Biology Laboratory I,AS.020.151
AS.020.154,AS Biology,General Biology Lab II,
AS.020.161,AS Biology,Current Events in Biology I,
AS.020.162,AS Biology,Current Events in Biology II,
AS.020.303,AS Biology,Genetics,
AS.020.304,AS Biology,Molecular Biology,
AS.020.305,AS Biology,Biochemistry,"AS.030.205 OR AS.030.212 OR EN.540.202, may be taken concurrently."
AS.020.306,AS Biology,Cell Biology,
AS.020.312,AS Biology,Introduction to the Human Brain,AS.020.306 OR EN.540.307
AS.020.314,AS Biology,The Biology of Disease,AS.020.303 AND AS.020.306
AS.020.315,AS Biology,Biochemistry Project lab,AS.020.305 OR AS.250.307 OR AS.250.315
AS.020.316,AS Biology,Cell Biology Lab,AS.020.306 AND AS.020.316 OR students must have previously completed both EN.540.202 and EN.540.307
AS.020.319,AS Biology,Human Genome Variation,AS.020.303
AS.020.320,AS Biology,Cell Division Mechanisms and Regulation,AS.020.306
AS.020.321,AS Biology,Human Genome Variation with Computational Lab,AS.020.303; AS.020.319
AS.020.322,AS Biology,Big Data & Biology: Modeling Biological Processes,AS.020.151 AND (AS.020.152 OR AS.020.303)
AS.020.323,AS Biology,Computation Lab:  Human Genome Variation,AS.020.319
AS.020.329,AS Biology,Microbiology,
AS.020.331,AS Biology,Human Genetics,AS.020.303
AS.020.337,AS Biology,Stem Cells & the Biology of Aging & Disease,AS.020.305 (Biochemistry) or AS.020.306 (Cell Biology) or EN.580.221 (Molecules and Cells) or EN.540.307 (Cell Biology for Engineers) or permission of instructor.
AS.020.340,AS Biology,Developmental Genetics Lab,AS.020.303
AS.020.344,AS Biology,Virology,AS.020.304 OR AS.020.306
AS.020.347,AS Biology,AIDS,AS.020.306
AS.020.350,AS Biology,Introduction to Clinical Medicine,
AS.020.351,AS Biology,Cancer Biology,Cell Biology 020.306 or permission of instructor
AS.020.361,AS Biology,Advanced Research Lab in Cell and Molecular Biology,
AS.020.362,AS Biology,Single Molecule  Approaches to Biology,AS.020.305 OR AS.250.316
AS.020.363,AS Biology,Developmental Biology,AS.020.306 AND (AS.020.330 OR AS.020.303)
AS.020.364,AS Biology,Molecular and Cellular Mechanisms of Reproduction,AS.020.306
AS.020.367,AS Biology,Primate Adaptation and Evolution,
AS.020.374,AS Biology,Comparative Physiology,AS.020.305
AS.020.377,AS Biology,Comparative Physiology Lab,AS.020.374
AS.020.379,AS Biology,Evolution,
AS.020.382,AS Biology,A Biophysical View of Biology,
AS.020.384,AS Biology,Fundamentals of Drug Discovery,AS.020.305 AND AS.020.306
AS.020.385,AS Biology,Epigenetics,AS.020.303 OR AS.020.330
AS.020.402,AS Biology,Master's Seminar:  Molecular and Cellular Biology II,
AS.020.410,AS Biology,Teaching and Learning in Biology,
AS.020.441,AS Biology,Mentoring in General Biology,
AS.020.442,AS Biology,Mentoring in General Biology,
AS.020.503,AS Biology,Independent Research in Biology,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.020.504,AS Biology,Independent Research in Biology,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.020.505,AS Biology,Internship - Biology,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.020.506,AS Biology,Internship - Biology,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.020.508,AS Biology,Literature Research in Biology,
AS.020.511,AS Biology,Independent Study,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.020.512,AS Biology,Independent Study,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.020.513,AS Biology,Research Problems,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.020.514,AS Biology,Research Problems,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.020.551,AS Biology,Mentored Research,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.020.553,AS Biology,Mentored Research,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.020.597,AS Biology,Research,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.020.601,AS Biology,Current Research in Bioscience,
AS.020.603,AS Biology,Master's Seminar:  Molecular & Cellular Biology I,
AS.020.605,AS Biology,Computational Simulation and Analysis of Protein Stability and Interactions,
AS.020.607,AS Biology,Quantitative Biology Bootcamp,
AS.020.608,AS Biology,Graduate Course in Optical Microscopy,
AS.020.612,AS Biology,Introduction to the Human Brain,
AS.020.617,AS Biology,Quantitative Biology Lab 1,
AS.020.618,AS Biology,Quantitative Biology Lab II,
AS.020.619,AS Biology,Thesis Proposal Preparation,
AS.020.629,AS Biology,Microbiology,
AS.020.630,AS Biology,Human Genetics,
AS.020.637,AS Biology,Genomes & Development,
AS.020.643,AS Biology,Graduate Virology,
AS.020.644,AS Biology,RNA,
AS.020.662,AS Biology,Single Molecule Approaches to Biology,
AS.020.668,AS Biology,Advanced Genetics and Molecular Biology,
AS.020.674,AS Biology,Quantitative Biology and Biophysics,
AS.020.684,AS Biology,Fundamentals of Drug Discovery and Development,
AS.020.686,AS Biology,Advanced Cell Biology,
AS.020.688,AS Biology,PhD Excels,
AS.020.689,AS Biology,PhD Excels II,AS.020.688
AS.020.699,AS Biology,CMDB Responsible Conduct in Research,
AS.020.801,AS Biology,Research – Biological Problems,
AS.020.802,AS Biology,Research-Biological Problems,
AS.020.803,AS Biology,Summer Graduate Research,
AS.020.804,AS Biology,Teaching Practicum,
AS.020.823,AS Biology,Introduction to Biology Research,
AS.020.824,AS Biology,Introduction to Biology Research,
AS.020.825,AS Biology,Introduction to Research,
AS.020.826,AS Biology,Introduction to Biology Research,
AS.250.105,AS Biophysics,Science and Film,
AS.250.205,AS Biophysics,Introduction to Computing,
AS.250.253,AS Biophysics,Protein Engineering and Biochemistry Lab,
AS.250.254,AS Biophysics,Protein Biochemistry and Engineering Laboratory,
AS.250.302,AS Biophysics,Modeling the Living Cell,
AS.250.310,AS Biophysics,Exploring Protein Biophysics using Nuclear Magnetic Resonance (NMR) Spectroscopy,((AS.030.101 AND AS.030.105) OR (AS.030.103 OR AS.030.204)) AND (AS.030.370 OR AS.250.372) AND (AS.020.305 OR AS.030.315 OR AS.250.315) AND  AS.030.205 or permission of the instructor.
AS.250.315,AS Biophysics,Biochemistry I,If you have completed AS.250.307 you may not register for AS.250.315.;AS.030.206 OR AS.030.212
AS.250.316,AS Biophysics,Biochemistry II,( AS.250.315 OR AS.030.315 OR AS.020.305 ) AND ( AS.030.206 OR AS.030.212 ) or permission of the instructor.
AS.250.335,AS Biophysics,Single Molecule & Cell Biophysics,
AS.250.351,AS Biophysics,Reproductive Physiology,
AS.250.372,AS Biophysics,Biophysical Chemistry,
AS.250.381,AS Biophysics,Spectroscopy and Its Application in Biophysical Reactions,AS.250.372
AS.250.383,AS Biophysics,Molecular Biophysics Laboratory,(AS.250.372 OR AS.030.370) AND AS.250.205
AS.250.403,AS Biophysics,Advanced Seminar in Bioenergetics,
AS.250.410,AS Biophysics,Genome Maintenance and Genome Engineering,
AS.250.411,AS Biophysics,Advanced Seminar in Structural Biology of Chromatin,
AS.250.420,AS Biophysics,Advanced Seminar in Macromolecular Binding,
AS.250.421,AS Biophysics,"Advanced Seminar in Membrane Protein Structure, Function & Pharmacology",
AS.250.520,AS Biophysics,Introduction to Biophysics Research,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.250.521,AS Biophysics,Research in Biophysics,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms.;In order to register for this course, you must first take TWO semesters of AS.250.520 - Introduction to Biophysics Research"
AS.250.601,AS Biophysics,Biophysics Seminar,
AS.250.610,AS Biophysics,Savvy Science Seminars,
AS.250.615,AS Biophysics,Biophysics Writing Workshop,
AS.250.620,AS Biophysics,Optical Spectroscopy,
AS.250.621,AS Biophysics,Cryo-EM Module,
AS.250.622,AS Biophysics,Statistics and Data Analysis,
AS.250.623,AS Biophysics,Macromolecular Simulation,
AS.250.624,AS Biophysics,NMR Spectroscopy,
AS.250.625,AS Biophysics,Single Molecule Measurements,
AS.250.648,AS Biophysics,Physics of Cell Biology: From Mechanics to Information,
AS.250.649,AS Biophysics,Introduction to Computing in Biology,
AS.250.685,AS Biophysics,Proteins & Nucleic Acids,"Prerequisite: AS.250.649,may be taken concurrently."
AS.250.689,AS Biophysics,Physical Chemistry of Biological Macromolecules,
AS.250.801,AS Biophysics,Dissertation Research,
AS.250.803,AS Biophysics,Summer Dissertation Research,
AS.250.820,AS Biophysics,Laboratory Rotation,
AS.250.821,AS Biophysics,Teaching Assistantship,
AS.362.102,AS Center for Africana Studies,Anti-Racism 101,
AS.362.109,AS Center for Africana Studies,Introduction to African American Literature- Part II,
AS.362.111,AS Center for Africana Studies,Introduction to African American Studies,
AS.362.112,AS Center for Africana Studies,Introduction to Africana Studies,
AS.362.115,AS Center for Africana Studies,Introduction to Police and Prisons,
AS.362.118,AS Center for Africana Studies,Cutting Through the Gaze: An Introduction to Social Justice Cinema,
AS.362.119,AS Center for Africana Studies,Abolition and the University,
AS.362.123,AS Center for Africana Studies,Introduction to African American Literature (Part 1),
AS.362.140,AS Center for Africana Studies,Blackstorytelling: Public Health in the Black World,
AS.362.201,AS Center for Africana Studies,African American Poetry and Poetics,
AS.362.203,AS Center for Africana Studies,Passing in American Culture,
AS.362.204,AS Center for Africana Studies,"Anti-Black Racism and Black Freedom Struggles: History, Theory, and Culture",
AS.362.211,AS Center for Africana Studies,Justice and the Healing Arts Summer Institute,
AS.362.216,AS Center for Africana Studies,The Politics of Black Cultural Production,
AS.362.271,AS Center for Africana Studies,Hip Hop Culture: From the Boogie Down to Black Lives Matter,
AS.362.309,AS Center for Africana Studies,Performing the Archive 2022: 200 Years of US-Liberia Migration,
AS.362.315,AS Center for Africana Studies,Black Against Empire,
AS.362.318,AS Center for Africana Studies,Liberation in the African Diaspora,
AS.362.335,AS Center for Africana Studies,Unlocking Knowledge: Theorizing Prison from the Inside,
AS.362.402,AS Center for Africana Studies,Arts and Social Justice Practicum,
AS.362.501,AS Center for Africana Studies,Independent Study,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.362.510,AS Center for Africana Studies,Senior Honors in Africana Studies I,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.362.511,AS Center for Africana Studies,Senior Honors in Africana Studies II,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.370.115,AS Center for Language Education,First Year American Sign Language,
AS.370.116,AS Center for Language Education,First Year American Sign Language II,AS.370.115
AS.370.215,AS Center for Language Education,Second Year American Sign Language,AS.370.116
AS.370.602,AS Center for Language Education,American English Pronunciation,
AS.370.603,AS Center for Language Education,Public Speaking in Academia,
AS.370.604,AS Center for Language Education,Advanced Grammar and Academic Writing,
AS.373.111,AS Center for Language Education,First Year Heritage Chinese,
AS.373.112,AS Center for Language Education,First Year Heritage Chinese II,AS.373.111 or or instructor permission
AS.373.115,AS Center for Language Education,First Year Chinese,
AS.373.116,AS Center for Language Education,First Year Chinese II,AS.373.115 or instructor permission]
AS.373.211,AS Center for Language Education,Second Year Heritage Chinese,AS.373.112 or equivalent.
AS.373.212,AS Center for Language Education,Second Year Heritage Chinese II,AS.373.211  or instructor permission
AS.373.215,AS Center for Language Education,Second Year Chinese,AS.373.116 or equivalent
AS.373.216,AS Center for Language Education,Second Year Chinese II,AS.373.215 or instructor permission.
AS.373.313,AS Center for Language Education,Third Year Heritage Chinese,AS.373.212
AS.373.314,AS Center for Language Education,Third Year Heritage Chinese II,AS.373.313 or equivalent
AS.373.315,AS Center for Language Education,Third Year Chinese,AS.373.216
AS.373.316,AS Center for Language Education,Third Year Chinese II,AS.373.315 or instructor permission
AS.373.415,AS Center for Language Education,Fourth Year Chinese,AS.373.316 or instructor permission
AS.373.416,AS Center for Language Education,Fourth Year Chinese II,AS.373.415 or instructor permission
AS.373.491,AS Center for Language Education,5th Year Chinese,AS.373.416 OR AS.373.314 or equivalent
AS.373.492,AS Center for Language Education,Fifth Year Chinese II,AS.373.491 or equivalent
AS.373.493,AS Center for Language Education,Fundamentals of Chinese Grammar,AS.373.115
AS.373.501,AS Center for Language Education,Independent Study - Chinese,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.373.503,AS Center for Language Education,Chinese Independent Study,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.375.115,AS Center for Language Education,First Year Arabic,
AS.375.116,AS Center for Language Education,First Year Arabic II,AS.375.115 or instructor permission
AS.375.211,AS Center for Language Education,Introduction to Levantine Arabic,AS.375.116
AS.375.215,AS Center for Language Education,Second Year Arabic,AS.375.116 or equivalent
AS.375.216,AS Center for Language Education,Second Year Arabic II,AS.375.215 or instructor permission
AS.375.301,AS Center for Language Education,Third Year Arabic,AS.375.216 or Instructor Permission
AS.375.302,AS Center for Language Education,Third Year Arabic II,AS.375.301 or instructor permission
AS.375.401,AS Center for Language Education,Fourth Year Arabic,AS.375.302 or equivalent
AS.375.402,AS Center for Language Education,Fourth Year Arabic II,AS.375.401 or equivalent.
AS.375.501,AS Center for Language Education,Independent Study-Arabic,
AS.375.502,AS Center for Language Education,Independent Study-Arabic,"You must request Independent Academic Work using the Independent Academic Work form found in Student Self-Service: Registration, Online Forms."
AS.375.802,AS Center for Language Education,Independent Study -- Arabic,
AS.377.115,AS Center for Language Education,First Year Russian,
AS.377.116,AS Center for Language Education,First Year Russian II,AS.377.115
AS.377.215,AS Center for Language Education,Second Year Russian,AS.377.116
AS.377.216,AS Center for Language Education,Second Year Russian II,AS.377.215
